,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
3706760,3706760,MY,2020-01-07,C3,0.0,,,OxCGRT
3706761,3706761,MY,2020-01-07,C4,0.0,,,OxCGRT
3706762,3706762,MY,2020-01-07,C5,0.0,,,OxCGRT
3706763,3706763,MY,2020-01-07,C6,0.0,,,OxCGRT
3706764,3706764,MY,2020-01-07,C7,0.0,,,OxCGRT
3706765,3706765,MY,2020-01-07,C8,0.0,,,OxCGRT
3706766,3706766,MY,2020-01-07,Cases,,,,OxCGRT
3706767,3706767,MY,2020-01-07,Deaths,,,,OxCGRT
3706768,3706768,MY,2020-01-07,E1,0.0,,,OxCGRT
3706769,3706769,MY,2020-01-07,E2,0.0,,,OxCGRT
3706770,3706770,MY,2020-01-07,E3,0.0,,,OxCGRT
3706771,3706771,MY,2020-01-07,E4,0.0,,,OxCGRT
3706772,3706772,MY,2020-01-07,H1,0.0,,,OxCGRT
3706773,3706773,MY,2020-01-07,H2,0.0,,,OxCGRT
3706774,3706774,MY,2020-01-07,H3,0.0,,,OxCGRT
3706775,3706775,MY,2020-01-07,H4,0.0,,,OxCGRT
3706776,3706776,MY,2020-01-07,H5,0.0,,,OxCGRT
3706777,3706777,MY,2020-01-07,H6,0.0,,,OxCGRT
3706778,3706778,MY,2020-01-07,H7,0.0,,,OxCGRT
3706779,3706779,MY,2020-01-07,H8,0.0,,,OxCGRT
3706780,3706780,MY,2020-01-07,I1,0.0,,,OxCGRT
3706781,3706781,MY,2020-01-07,I1D,0.0,,,OxCGRT
3706782,3706782,MY,2020-01-07,I2,0.0,,,OxCGRT
3706783,3706783,MY,2020-01-07,I2D,0.0,,,OxCGRT
3706784,3706784,MY,2020-01-07,I3,0.0,,,OxCGRT
3706785,3706785,MY,2020-01-07,I3D,0.0,,,OxCGRT
3706786,3706786,MY,2020-01-07,I4,0.0,,,OxCGRT
3706787,3706787,MY,2020-01-07,I4D,0.0,,,OxCGRT
3706788,3706788,MY,2020-01-07,I4L,0.0,,,OxCGRT
3706789,3706789,MY,2020-01-07,I4LD,0.0,,,OxCGRT
3706790,3706790,MY,2020-01-07,M1,,,,OxCGRT
