,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
2529111,2529111,GB,2020-01-05,I2,0.0,,,OxCGRT
2529112,2529112,GB,2020-01-05,I2D,0.0,,,OxCGRT
2529113,2529113,GB,2020-01-05,I3,0.0,,,OxCGRT
2529114,2529114,GB,2020-01-05,I3D,0.0,,,OxCGRT
2529115,2529115,GB,2020-01-05,I4,0.0,,,OxCGRT
2529116,2529116,GB,2020-01-05,I4D,0.0,,,OxCGRT
2529117,2529117,GB,2020-01-05,I4L,0.0,,,OxCGRT
2529118,2529118,GB,2020-01-05,I4LD,0.0,,,OxCGRT
2529119,2529119,GB,2020-01-05,M1,,,,OxCGRT
2529120,2529120,GB,2020-01-06,C1,0.0,,,OxCGRT
2529121,2529121,GB,2020-01-06,C2,0.0,,,OxCGRT
2529122,2529122,GB,2020-01-06,C3,0.0,,,OxCGRT
2529123,2529123,GB,2020-01-06,C4,0.0,,,OxCGRT
2529124,2529124,GB,2020-01-06,C5,0.0,,,OxCGRT
2529125,2529125,GB,2020-01-06,C6,0.0,,,OxCGRT
2529126,2529126,GB,2020-01-06,C7,0.0,,,OxCGRT
2529127,2529127,GB,2020-01-06,C8,0.0,,,OxCGRT
2529128,2529128,GB,2020-01-06,Cases,,,,OxCGRT
2529129,2529129,GB,2020-01-06,Deaths,,,,OxCGRT
2529130,2529130,GB,2020-01-06,E1,0.0,,,OxCGRT
2529131,2529131,GB,2020-01-06,E2,0.0,,,OxCGRT
2529132,2529132,GB,2020-01-06,E3,0.0,,,OxCGRT
2529133,2529133,GB,2020-01-06,E4,0.0,,,OxCGRT
2529134,2529134,GB,2020-01-06,H1,0.0,,,OxCGRT
2529135,2529135,GB,2020-01-06,H2,0.0,,,OxCGRT
2529136,2529136,GB,2020-01-06,H3,0.0,,,OxCGRT
2529137,2529137,GB,2020-01-06,H4,0.0,,,OxCGRT
2529138,2529138,GB,2020-01-06,H5,0.0,,,OxCGRT
2529139,2529139,GB,2020-01-06,H6,0.0,,,OxCGRT
2529140,2529140,GB,2020-01-06,H7,0.0,,,OxCGRT
2529141,2529141,GB,2020-01-06,H8,0.0,,,OxCGRT
2529142,2529142,GB,2020-01-06,I1,0.0,,,OxCGRT
2529143,2529143,GB,2020-01-06,I1D,0.0,,,OxCGRT
2529144,2529144,GB,2020-01-06,I2,0.0,,,OxCGRT
2529145,2529145,GB,2020-01-06,I2D,0.0,,,OxCGRT
2529146,2529146,GB,2020-01-06,I3,0.0,,,OxCGRT
2529147,2529147,GB,2020-01-06,I3D,0.0,,,OxCGRT
2529148,2529148,GB,2020-01-06,I4,0.0,,,OxCGRT
2529149,2529149,GB,2020-01-06,I4D,0.0,,,OxCGRT
2529150,2529150,GB,2020-01-06,I4L,0.0,,,OxCGRT
2529151,2529151,GB,2020-01-06,I4LD,0.0,,,OxCGRT
2529152,2529152,GB,2020-01-06,M1,,,,OxCGRT
2529153,2529153,GB,2020-01-07,C1,0.0,,,OxCGRT
2529154,2529154,GB,2020-01-07,C2,0.0,,,OxCGRT
2529155,2529155,GB,2020-01-07,C3,0.0,,,OxCGRT
2529156,2529156,GB,2020-01-07,C4,0.0,,,OxCGRT
2529157,2529157,GB,2020-01-07,C5,0.0,,,OxCGRT
2529158,2529158,GB,2020-01-07,C6,0.0,,,OxCGRT
